"","LibCon","condition","WhtDis_comp","TrumpProto","LibId_comp"
"1",7,"Actual threat",4.16666666666667,2.33333333333333,5
"2",2,"Actual threat",2.72222222222222,4,1.75
"3",7,"Actual threat",5.75,2.66666666666667,5.6
"4",4,"Actual threat",4.11111111111111,5,4.85714285714286
"5",6,"Actual threat",2.41666666666667,5,5.07692307692308
"6",6,"Actual threat",2.44444444444444,2,4.88888888888889
"7",5,"Actual threat",4.5,4,3.875
"8",7,"Actual threat",2.66666666666667,1,6.84615384615385
"9",2,"Actual threat",4.44444444444444,1.66666666666667,2.23076923076923
"10",4,"Actual threat",3.27777777777778,2.33333333333333,4.42857142857143
"11",6,"Actual threat",3.77777777777778,2.33333333333333,5.66666666666667
"12",7,"Actual threat",1.59722222222222,1.66666666666667,6.53846153846154
"13",2,"Actual threat",1.91666666666667,2,2.72727272727273
"14",5,"Actual threat",3.58333333333333,2.66666666666667,5
"15",7,"Actual threat",5.01388888888889,3.33333333333333,5.76923076923077
"16",3,"Actual threat",4.33333333333333,3,3.27272727272727
"17",2,"Actual threat",2.48611111111111,3.66666666666667,1.53846153846154
"18",3,"Actual threat",3.11111111111111,3.5,3.84615384615385
"19",3,"Actual threat",2.06944444444444,2.66666666666667,2.15384615384615
"20",5,"Actual threat",2,6,4.41666666666667
"21",5,"Actual threat",3.66666666666667,1,4.91666666666667
"22",7,"Actual threat",4.30555555555556,1.33333333333333,6
"23",2,"Actual threat",3.11111111111111,4,1.23076923076923
"24",3,"Actual threat",5.27777777777778,3.66666666666667,2.55555555555556
"25",7,"Actual threat",4.76388888888889,1.33333333333333,6.61538461538461
"26",1,"Actual threat",1.5,7,1
"27",7,"Actual threat",3.61111111111111,3,5.66666666666667
"28",7,"Actual threat",4.77777777777778,1,5.53846153846154
"29",8,"Actual threat",4.70833333333333,1.66666666666667,7
"30",6,"Actual threat",4.30555555555556,3,5.44444444444444
"31",7,"Actual threat",3.41666666666667,4.33333333333333,4.07692307692308
"32",2,"Actual threat",3.26388888888889,3.33333333333333,2.53846153846154
"33",4,"Actual threat",4.33333333333333,1,4.28571428571429
"34",2,"Actual threat",2,2.33333333333333,2.5
"35",1,"Actual threat",1,7,1.5
"36",5,"Actual threat",2.25,1.33333333333333,5.15384615384615
