"","LibCon","condition","WhtDis_comp"
"1",2,0,2.65
"2",5,0,4.175
"3",4,0,3.55
"4",1,0,4.3
"5",2,0,1.225
"6",2,0,4.1
"7",8,0,4.85
"8",3,0,1.375
"9",3,0,4.1
"10",5,0,4.4
"11",4,0,4.4
"12",5,0,4.975
"13",6,0,3.8
"14",6,0,2.35
"15",5,0,4.875
"16",4,0,4.775
"17",4,0,4.51666666666667
"18",7,0,4
"19",6,0,4.15
"20",5,0,2.9
"21",7,0,4.45
"22",1,0,1.675
"23",7,0,5.3
"24",2,0,4
"25",5,0,3.775
"26",5,0,4.7
"27",8,0,4.05
"28",7,0,4.9
"29",4,0,3
"30",4,0,4.8
"31",2,0,3.975
"32",7,0,1.6
"33",7,0,2.775
"34",5,0,1.55
"35",5,0,2.6
"36",3,0,2.15
"37",4,0,2.4
"38",5,0,2.2
"39",8,0,3.25
"40",5,0,2
"41",3,0,4.05
"42",8,0,4.1
"43",4,0,2.6
"44",3,0,2.1
"45",6,0,4.925
"46",2,0,2.1
"47",6,0,3.6
"48",3,0,1.925
"49",3,0,1.475
"50",5,0,4
"51",1,0,1
"52",7,0,4.125
"53",8,0,3.775
"54",8,0,2.35
"55",6,0,3.675
"56",7,0,2.125
"57",3,0,3.05
"58",2,0,2.475
"59",7,0,5.7
"60",2,0,2.38333333333333
"61",7,0,5.325
"62",4,0,1.425
"63",8,0,4.6
"64",7,0,3.875
"65",6,0,4.4
"66",7,0,4.2
"67",4,0,1.8
"68",7,0,5.95
"69",8,0,4.075
"70",2,0,2.8
"71",7,0,4.66666666666667
"72",6,0,4.65
"73",7,0,4.7
"74",6,0,3.6
"75",3,0,4
"76",8,0,3.83333333333333
"77",5,0,1.75
"78",5,0,3.1
"79",5,0,4.5
"80",6,0,5.53333333333333
"81",5,0,2.25
"82",2,0,3.15
"83",5,0,5.2
"84",7,0,4.95
"85",7,0,5.175
"86",3,0,1
"87",6,0,2.35
"88",1,0,3.775
"89",8,0,3.975
"90",4,0,2
"91",7,0,3.83333333333333
"92",4,0,3.98333333333333
"93",4,0,2.7
"94",1,0,2.375
"95",5,0,1.9
"96",5,0,3.725
"97",5,0,2.9
"98",4,0,3.4
"99",5,0,4.15
"100",4,0,4.025
"101",2,0,2.7
"102",7,0,1.65
"103",3,0,3.75
"104",4,0,NA
"105",5,0,4.4
"106",4,0,2.65
"107",4,0,1.3
"108",3,0,3.025
"109",3,0,4.2
"110",8,0,3.8
"111",8,0,4.7
"112",4,0,2.325
"113",4,0,3.25
"114",5,0,5.65
"115",5,0,3.05
"116",7,0,4.78333333333333
"117",8,0,6.15
"118",3,0,1.925
"119",5,0,2
"120",4,0,1
"121",8,0,1
"122",1,0,2.75
"123",4,0,2.4
"124",2,0,1.125
"125",6,0,3.28333333333333
"126",7,0,5.625
"127",7,0,4.55
"128",6,0,3.775
"129",2,0,4.65
"130",1,0,4.075
"131",4,0,2.23333333333333
"132",8,0,5.575
"133",6,0,4.1
"134",4,0,2.85
"135",7,0,4.2
"136",3,0,3.3
"137",4,0,3.6
"138",6,0,2.81666666666667
"139",5,0,5.43333333333333
"140",2,0,2.575
"141",5,0,2.325
"142",6,0,3.5
"143",2,0,1.375
"144",5,0,6.6
"145",5,0,4.45
"146",2,0,1.875
"147",7,0,3.75
"148",5,0,2.825
"149",6,0,1.05
"150",1,0,1
"151",7,0,2
"152",2,0,3.45
"153",4,0,2.5
"154",2,0,4.16666666666667
"155",4,0,1
"156",1,0,3.7
"157",7,0,5.3
"158",7,2,5.15
"159",3,2,3.86666666666667
"160",7,2,6.45
"161",7,2,2.16666666666667
"162",3,2,4.45
"163",7,2,4.2
"164",6,2,4.86666666666667
"165",2,2,2
"166",8,2,7
"167",7,2,4.35
"168",3,2,4.65
"169",1,2,2.2
"170",2,2,1
"171",2,2,1.75
"172",7,2,5.675
"173",5,2,3
"174",6,2,4.5
"175",8,2,5.4
"176",4,2,2.775
"177",2,2,1.55
"178",6,2,4.8
"179",2,2,1.5
"180",5,2,5.425
"181",7,2,4.975
"182",8,2,6.75
"183",3,2,2.35
"184",1,2,4.58333333333333
"185",5,2,4
"186",8,2,4.55
"187",7,2,2.85
"188",4,2,1
"189",2,2,2.21666666666667
"190",2,2,4.35
"191",5,2,4.65
"192",7,2,3.93333333333333
"193",5,2,2.9
"194",7,2,4.15
"195",6,2,5.1
"196",4,2,4
"197",7,2,2.225
"198",5,2,3.63333333333333
"199",7,2,4.5
"200",4,2,3.8
"201",8,2,4
"202",8,2,4.275
"203",5,2,4.3
"204",1,2,1.85
"205",7,2,2.95
"206",2,2,2.95
"207",4,2,4.3
"208",6,2,5.3
"209",7,2,5.96666666666667
"210",8,2,6.125
"211",7,2,2.7
"212",8,2,4.9
"213",7,2,2.075
"214",2,2,1.825
"215",3,2,1.625
"216",7,2,2.9
"217",8,2,3.75
"218",4,2,1.5
"219",3,2,2.55
"220",7,2,5.5
"221",8,2,6.375
"222",4,2,4
"223",4,2,1.95
"224",7,2,4.7
"225",8,2,6.225
"226",5,2,4.3
"227",2,2,3.18333333333333
"228",8,2,6.2
"229",5,2,3.925
"230",3,2,1.15
"231",5,2,5.68333333333333
"232",7,2,5.75
"233",5,2,3.8
"234",8,2,4.025
"235",4,2,1.925
"236",1,2,1.45
"237",4,2,2.3
"238",5,2,2.875
"239",5,2,3.8
"240",8,2,4.65
"241",4,2,3.8
"242",7,2,3.025
"243",1,2,2.775
"244",3,2,2.2
"245",5,2,2.575
"246",6,2,3.85
"247",7,2,4.88333333333333
"248",7,2,5.75
"249",5,2,5.175
"250",8,2,3.775
"251",1,2,2.8
"252",2,2,2.075
"253",4,2,3.45
"254",2,2,2
"255",6,2,4.4
"256",6,2,3.95
"257",5,2,5.025
"258",3,2,1.96666666666667
"259",4,2,2.175
"260",7,2,4.525
