"","LibCon","condition","PolicySupport","IndivAction","TrumpProto","WhtDis_comp"
"1",5,"Control",5.5,5.2,2,2.20833333333333
"2",1,"Control",2.125,2.2,5.66666666666667,1.83333333333333
"3",7,"Control",6.875,7,1,5.875
"4",7,"Control",4.75,4.75,2,2.58333333333333
"5",5,"Control",3.875,2,1.66666666666667,3.91666666666667
"6",4,"Control",2.625,2.8,2.33333333333333,2.79166666666667
"7",2,"Control",5.5,5.2,5.33333333333333,1
"8",7,"Control",5.875,5.5,1.66666666666667,2.10416666666667
"9",2,"Control",1.875,6.8,7,1
"10",1,"Control",1.75,3.8,6,2
"11",8,"Control",4.875,4,1.33333333333333,2.70833333333333
"12",3,"Control",2,2.2,4,2.66666666666667
"13",1,"Control",4,4,4,2
"14",1,"Control",1.875,2.2,4,2.25
"15",7,"Control",5.125,5.8,2,3.66666666666667
"16",5,"Control",2.29166666666667,1.4,4.66666666666667,2.08333333333333
"17",6,"Control",5.125,5.75,5,2.25
"18",7,"Control",3.125,6.2,1.33333333333333,3.41666666666667
"19",5,"Control",2,3,2.66666666666667,3.41666666666667
"20",7,"Control",5.375,6,1,3.91666666666667
"21",6,"Control",4.5,5.2,3,3.45833333333333
"22",7,"Control",4,6.4,1,2.66666666666667
"23",1,"Control",1,4,6.33333333333333,1.41666666666667
"24",7,"Control",4,2.2,4,5.5
"25",1,"Control",2.625,4,5,2.41666666666667
"26",3,"Control",4.875,3.5,2.5,5.08333333333333
"27",7,"Control",5.875,6.4,1.33333333333333,3.08333333333333
"28",5,"Control",4.625,6.4,2,1.95833333333333
"29",4,"Control",2.75,5.4,2.5,2
"30",4,"Control",2.75,4,2,1.91666666666667
"31",2,"Control",5,5,6,1.70833333333333
"32",3,"Control",3.5,4.5,2.33333333333333,3.33333333333333
"33",5,"Control",4.125,4.8,3,2
"34",5,"Control",5.875,6,1,3.89583333333333
"35",3,"Control",2.5,1.75,4,1
"36",2,"Control",2.25,5.6,6,1.5
"37",2,"Control",5.125,3.4,6,1.79166666666667
"38",4,"Control",4.375,4.2,4,3.25
